state_component, stat, schedule, label_scheme, N, result
requested.signature, l2, 1, a, 9890, 0.0020222
requested.signature, l2.binary, 1, a, 9890, 0.0020222
requested.signature, avgp, 1, a, 9890, 0.9989889
requested.signature, neglogp, 1, a, 9890, 0.0093128
requested.signature, mrr, 1, a, 9890, 0.9994944
requested.signature, update.acc, 1, a, 9890, 0.9911269
requested.signature, update.prec, 1, a, 9890, 1.0000000
requested.signature, roc.v1_eer, 1, a, 9890, 0.9988878
requested.signature, roc.v1_ca05, 1, a, 9890, 0.9989889
requested.signature, roc.v1_ca10, 1, a, 9890, 0.9989889
requested.signature, roc.v1_ca20, 1, a, 9890, 0.9989889
requested.signature, roc.v2_ca05, 1, a, 9890, 0.0001012
requested.signature, roc.v2_ca10, 1, a, 9890, 0.0001012
requested.signature, roc.v2_ca20, 1, a, 9890, 0.0001012
requested.name, acc, 1, a, 9890, 0.9997978
requested.name, l2, 1, a, 9890, 0.0001922
requested.name, l2.binary, 1, a, 9890, 0.0001922
requested.name, avgp, 1, a, 9890, 0.9998394
requested.name, neglogp, 1, a, 9890, 0.0002513
requested.name, mrr, 1, a, 9890, 0.9998989
requested.name, update.acc, 1, a, 9890, 1.0000000
requested.name, update.prec, 1, a, 9890, 0.9982191
requested.name, roc.v1_eer, 1, a, 9890, 0.0000000
requested.name, roc.v1_ca05, 1, a, 9890, 0.9997978
requested.name, roc.v1_ca10, 1, a, 9890, 0.9997978
requested.name, roc.v1_ca20, 1, a, 9890, 0.9997978
requested.name, roc.v2_ca05, 1, a, 9890, 1.0000000
requested.name, roc.v2_ca10, 1, a, 9890, 1.0000000
requested.name, roc.v2_ca20, 1, a, 9890, 1.0000000
requested.all, acc, 1, a, 79120, 0.9968150
requested.all, l2, 1, a, 79120, 0.0059014
requested.all, l2.binary, 1, a, 79120, 0.0059014
requested.all, avgp, 1, a, 79120, 0.9965631
requested.all, neglogp, 1, a, 79120, 0.0235221
requested.all, mrr, 1, a, 79120, 0.9984075
requested.all, update.acc, 1, a, 79120, 0.9711715
requested.all, update.prec, 1, a, 79120, 0.9861252
requested.all, roc.v1_eer, 1, a, 79120, 0.0050556
requested.all, roc.v1_ca05, 1, a, 79120, 0.9968150
requested.all, roc.v1_ca10, 1, a, 79120, 0.9968150
requested.all, roc.v1_ca20, 1, a, 79120, 0.9968150
requested.all, roc.v2_ca05, 1, a, 79120, 0.0000127
requested.all, roc.v2_ca10, 1, a, 79120, 0.0000127
requested.all, roc.v2_ca20, 1, a, 79120, 0.0000127
method, acc, 1, a, 9890, 0.9300303
method, l2, 1, a, 9890, 0.1158030
method, l2.binary, 1, a, 9890, 0.1200475
method, avgp, 1, a, 9890, 0.9004605
method, neglogp, 1, a, 9890, 0.2373912
method, mrr, 1, a, 9890, 0.9632777
method, update.acc, 1, a, 9890, 0.8418915
method, update.prec, 1, a, 9890, 0.9259732
method, roc.v1_eer, 1, a, 9890, 0.0922144
method, roc.v1_ca05, 1, a, 9890, 0.8966633
method, roc.v1_ca10, 1, a, 9890, 0.9300303
method, roc.v1_ca20, 1, a, 9890, 0.9300303
method, roc.v2_ca05, 1, a, 9890, 0.4008480
method, roc.v2_ca10, 1, a, 9890, 0.5662100
method, roc.v2_ca20, 1, a, 9890, 0.7131985
all, acc, 1, a, 128570, 0.9626818
all, l2, 1, a, 128570, 0.0604453
all, l2.binary, 1, a, 128570, 0.0727100
all, avgp, 1, a, 128570, 0.9473051
all, neglogp, 1, a, 128570, 0.1729308
all, mrr, 1, a, 128570, 0.9754777
all, update.acc, 1, a, 128570, 0.9187935
all, update.prec, 1, a, 128570, 0.9257830
