state_component, stat, schedule, label_scheme, N, result
all, roc.v2_ca20, 1, a, 128570, 0.8841473
goal.food, acc, 1, b, 9890, 0.6611729
goal.food, l2, 1, b, 9890, 0.5535507
goal.food, l2.binary, 1, b, 9890, 0.6889204
goal.food, avgp, 1, b, 9890, 0.6231944
goal.food, neglogp, 1, b, 9890, 2.1286208
goal.food, mrr, 1, b, 9890, 0.7235041
goal.food, update.acc, 1, b, 9890, 0.2784727
goal.food, update.prec, 1, b, 9890, 0.6370482
goal.food, roc.v1_eer, 1, b, 9890, 0.2560162
goal.food, roc.v1_ca05, 1, b, 9890, 0.3599596
goal.food, roc.v1_ca10, 1, b, 9890, 0.4898888
goal.food, roc.v1_ca20, 1, b, 9890, 0.6055612
goal.food, roc.v2_ca05, 1, b, 9890, 0.3098333
goal.food, roc.v2_ca10, 1, b, 9890, 0.4563389
goal.food, roc.v2_ca20, 1, b, 9890, 0.6328185
goal.pricerange, acc, 1, b, 9890, 0.7136502
goal.pricerange, l2, 1, b, 9890, 0.5021334
goal.pricerange, l2.binary, 1, b, 9890, 0.5416860
goal.pricerange, avgp, 1, b, 9890, 0.6962120
goal.pricerange, neglogp, 1, b, 9890, 1.3962368
goal.pricerange, mrr, 1, b, 9890, 0.8121200
goal.pricerange, update.acc, 1, b, 9890, 0.2502046
goal.pricerange, update.prec, 1, b, 9890, 0.8336364
goal.pricerange, roc.v1_eer, 1, b, 9890, 0.2728008
goal.pricerange, roc.v1_ca05, 1, b, 9890, 0.3615774
goal.pricerange, roc.v1_ca10, 1, b, 9890, 0.5081901
goal.pricerange, roc.v1_ca20, 1, b, 9890, 0.6565217
goal.pricerange, roc.v2_ca05, 1, b, 9890, 0.2291017
goal.pricerange, roc.v2_ca10, 1, b, 9890, 0.3695098
goal.pricerange, roc.v2_ca20, 1, b, 9890, 0.5488807
goal.name, acc, 1, b, 9890, 0.9893832
goal.name, l2, 1, b, 9890, 0.0212301
goal.name, l2.binary, 1, b, 9890, 0.0212515
goal.name, avgp, 1, b, 9890, 0.9887316
goal.name, neglogp, 1, b, 9890, 0.0978988
goal.name, mrr, 1, b, 9890, 0.9900868
goal.name, update.acc, 1, b, 9890, 0.0000000
goal.name, update.prec, 1, b, 9890, -
goal.name, roc.v1_eer, 1, b, 9890, 0.0208291
goal.name, roc.v1_ca05, 1, b, 9890, 0.9893832
goal.name, roc.v1_ca10, 1, b, 9890, 0.9893832
goal.name, roc.v1_ca20, 1, b, 9890, 0.9893832
goal.name, roc.v2_ca05, 1, b, 9890, 0.0677568
goal.name, roc.v2_ca10, 1, b, 9890, 0.1016863
goal.name, roc.v2_ca20, 1, b, 9890, 0.1744507
goal.area, acc, 1, b, 9890, 0.6786653
goal.area, l2, 1, b, 9890, 0.5374427
goal.area, l2.binary, 1, b, 9890, 0.5964527
goal.area, avgp, 1, b, 9890, 0.6612862
goal.area, neglogp, 1, b, 9890, 1.4889691
goal.area, mrr, 1, b, 9890, 0.7886827
goal.area, update.acc, 1, b, 9890, 0.2430966
goal.area, update.prec, 1, b, 9890, 0.7769898
goal.area, roc.v1_eer, 1, b, 9890, 0.2782609
goal.area, roc.v1_ca05, 1, b, 9890, 0.2452983
goal.area, roc.v1_ca10, 1, b, 9890, 0.4458038
goal.area, roc.v1_ca20, 1, b, 9890, 0.6165824
goal.area, roc.v2_ca05, 1, b, 9890, 0.1902563
goal.area, roc.v2_ca10, 1, b, 9890, 0.2777116
goal.area, roc.v2_ca20, 1, b, 9890, 0.4334029
goal.all, acc, 1, b, 39560, 0.7607179
goal.all, l2, 1, b, 39560, 0.4035892
goal.all, l2.binary, 1, b, 39560, 0.4620777
goal.all, avgp, 1, b, 39560, 0.7423561
goal.all, neglogp, 1, b, 39560, 1.2779314
goal.all, mrr, 1, b, 39560, 0.8285984
goal.all, update.acc, 1, b, 39560, 0.7432017
goal.all, update.prec, 1, b, 39560, 0.8042249
goal.all, roc.v1_eer, 1, b, 39560, 0.2052578
goal.all, roc.v1_ca05, 1, b, 39560, 0.5232053
goal.all, roc.v1_ca10, 1, b, 39560, 0.6547523
goal.all, roc.v1_ca20, 1, b, 39560, 0.7462841
goal.all, roc.v2_ca05, 1, b, 39560, 0.4400877
goal.all, roc.v2_ca10, 1, b, 39560, 0.5385459
goal.all, roc.v2_ca20, 1, b, 39560, 0.6756496
goal.joint, acc, 1, b, 9890, 0.4034378
goal.joint, l2, 1, b, 9890, 0.8958991
goal.joint, l2.binary, 1, b, 9890, 1.1765792
goal.joint, avgp, 1, b, 9890, 0.3704571
goal.joint, neglogp, 1, b, 9890, 4.1760932
