state_component, stat, schedule, label_scheme, N, result
requested.phone, l2, 1, a, 9890, 0.0074077
requested.phone, l2.binary, 1, a, 9890, 0.0074077
requested.phone, avgp, 1, a, 9890, 0.9958169
requested.phone, neglogp, 1, a, 9890, 0.0276260
requested.phone, mrr, 1, a, 9890, 0.9980283
requested.phone, update.acc, 1, a, 9890, 0.9921062
requested.phone, update.prec, 1, a, 9890, 0.9931753
requested.phone, roc.v1_eer, 1, a, 9890, 0.0060667
requested.phone, roc.v1_ca05, 1, a, 9890, 0.9960566
requested.phone, roc.v1_ca10, 1, a, 9890, 0.9960566
requested.phone, roc.v1_ca20, 1, a, 9890, 0.9960566
requested.phone, roc.v2_ca05, 1, a, 9890, 0.0001015
requested.phone, roc.v2_ca10, 1, a, 9890, 0.0001015
requested.phone, roc.v2_ca20, 1, a, 9890, 0.0001015
requested.pricerange, acc, 1, a, 9890, 0.9972700
requested.pricerange, l2, 1, a, 9890, 0.0048960
requested.pricerange, l2.binary, 1, a, 9890, 0.0048960
requested.pricerange, avgp, 1, a, 9890, 0.9972114
requested.pricerange, neglogp, 1, a, 9890, 0.0181925
requested.pricerange, mrr, 1, a, 9890, 0.9986350
requested.pricerange, update.acc, 1, a, 9890, 0.9862385
requested.pricerange, update.prec, 1, a, 9890, 0.9930716
requested.pricerange, roc.v1_eer, 1, a, 9890, 0.0036400
requested.pricerange, roc.v1_ca05, 1, a, 9890, 0.9972700
requested.pricerange, roc.v1_ca10, 1, a, 9890, 0.9972700
requested.pricerange, roc.v1_ca20, 1, a, 9890, 0.9972700
requested.pricerange, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.pricerange, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.pricerange, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.postcode, acc, 1, a, 9890, 0.9974722
requested.postcode, l2, 1, a, 9890, 0.0049353
requested.postcode, l2.binary, 1, a, 9890, 0.0049353
requested.postcode, avgp, 1, a, 9890, 0.9972050
requested.postcode, neglogp, 1, a, 9890, 0.0176910
requested.postcode, mrr, 1, a, 9890, 0.9987361
requested.postcode, update.acc, 1, a, 9890, 0.9913621
requested.postcode, update.prec, 1, a, 9890, 0.9920213
requested.postcode, roc.v1_eer, 1, a, 9890, 0.0040445
requested.postcode, roc.v1_ca05, 1, a, 9890, 0.9974722
requested.postcode, roc.v1_ca10, 1, a, 9890, 0.9974722
requested.postcode, roc.v1_ca20, 1, a, 9890, 0.9974722
requested.postcode, roc.v2_ca05, 1, a, 9890, 0.0001014
requested.postcode, roc.v2_ca10, 1, a, 9890, 0.0001014
requested.postcode, roc.v2_ca20, 1, a, 9890, 0.0001014
requested.signature, acc, 1, a, 9890, 0.9989889
requested.signature, l2, 1, a, 9890, 0.0020222
requested.signature, l2.binary, 1, a, 9890, 0.0020222
requested.signature, avgp, 1, a, 9890, 0.9989889
requested.signature, neglogp, 1, a, 9890, 0.0093128
requested.signature, mrr, 1, a, 9890, 0.9994944
requested.signature, update.acc, 1, a, 9890, 0.9911269
requested.signature, update.prec, 1, a, 9890, 1.0000000
requested.signature, roc.v1_eer, 1, a, 9890, 0.9988878
requested.signature, roc.v1_ca05, 1, a, 9890, 0.9989889
requested.signature, roc.v1_ca10, 1, a, 9890, 0.9989889
requested.signature, roc.v1_ca20, 1, a, 9890, 0.9989889
requested.signature, roc.v2_ca05, 1, a, 9890, 0.0001012
requested.signature, roc.v2_ca10, 1, a, 9890, 0.0001012
requested.signature, roc.v2_ca20, 1, a, 9890, 0.0001012
requested.name, acc, 1, a, 9890, 0.9998989
requested.name, l2, 1, a, 9890, 0.0002022
requested.name, l2.binary, 1, a, 9890, 0.0002022
requested.name, avgp, 1, a, 9890, 0.9998989
requested.name, neglogp, 1, a, 9890, 0.0009313
requested.name, mrr, 1, a, 9890, 0.9999494
requested.name, update.acc, 1, a, 9890, 0.9991055
requested.name, update.prec, 1, a, 9890, 1.0000000
requested.name, roc.v1_eer, 1, a, 9890, 0.9997978
requested.name, roc.v1_ca05, 1, a, 9890, 0.9998989
requested.name, roc.v1_ca10, 1, a, 9890, 0.9998989
requested.name, roc.v1_ca20, 1, a, 9890, 0.9998989
requested.name, roc.v2_ca05, 1, a, 9890, 0.0001011
requested.name, roc.v2_ca10, 1, a, 9890, 0.0001011
requested.name, roc.v2_ca20, 1, a, 9890, 0.0001011
requested.all, acc, 1, a, 79120, 0.9967770
requested.all, l2, 1, a, 79120, 0.0059373
requested.all, l2.binary, 1, a, 79120, 0.0059373
requested.all, avgp, 1, a, 79120, 0.9965254
requested.all, neglogp, 1, a, 79120, 0.0221702
requested.all, mrr, 1, a, 79120, 0.9983885
requested.all, update.acc, 1, a, 79120, 0.9743462
requested.all, update.prec, 1, a, 79120, 0.9828047
requested.all, roc.v1_eer, 1, a, 79120, 0.0047270
requested.all, roc.v1_ca05, 1, a, 79120, 0.9967770
requested.all, roc.v1_ca10, 1, a, 79120, 0.9967770
requested.all, roc.v1_ca20, 1, a, 79120, 0.9967770
requested.all, roc.v2_ca05, 1, a, 79120, 0.0000127
requested.all, roc.v2_ca10, 1, a, 79120, 0.0000127
requested.all, roc.v2_ca20, 1, a, 79120, 0.0000127
method, acc, 1, a, 9890, 0.9327604
method, l2, 1, a, 9890, 0.1125155
method, l2.binary, 1, a, 9890, 0.1153183
method, avgp, 1, a, 9890, 0.9188201
method, neglogp, 1, a, 9890, 0.2492789
method, mrr, 1, a, 9890, 0.9645332
method, update.acc, 1, a, 9890, 0.8487128
method, update.prec, 1, a, 9890, 0.9299525
method, roc.v1_eer, 1, a, 9890, 0.0857432
method, roc.v1_ca05, 1, a, 9890, 0.9079879
method, roc.v1_ca10, 1, a, 9890, 0.9327604
method, roc.v1_ca20, 1, a, 9890, 0.9327604
method, roc.v2_ca05, 1, a, 9890, 0.3411382
method, roc.v2_ca10, 1, a, 9890, 0.5627100
method, roc.v2_ca20, 1, a, 9890, 0.7511111
all, acc, 1, a, 128570, 0.9583651
all, l2, 1, a, 128570, 0.0703325
all, l2.binary, 1, a, 128570, 0.0793115
