state_component, stat, schedule, label_scheme, N, result
method, l2.binary, 1, a, 9890, 0.1138857
method, avgp, 1, a, 9890, 0.9268230
method, neglogp, 1, a, 9890, 0.2858764
method, mrr, 1, a, 9890, 0.9653134
method, update.acc, 1, a, 9890, 0.8575573
method, update.prec, 1, a, 9890, 0.9283920
method, roc.v1_eer, 1, a, 9890, 0.0823054
method, roc.v1_ca05, 1, a, 9890, 0.9125379
method, roc.v1_ca10, 1, a, 9890, 0.9346815
method, roc.v1_ca20, 1, a, 9890, 0.9346815
method, roc.v2_ca05, 1, a, 9890, 0.3041973
method, roc.v2_ca10, 1, a, 9890, 0.4714409
method, roc.v2_ca20, 1, a, 9890, 0.6711380
all, acc, 1, a, 128570, 0.9609940
all, l2, 1, a, 128570, 0.0638410
all, l2.binary, 1, a, 128570, 0.0734977
all, avgp, 1, a, 128570, 0.9525269
all, neglogp, 1, a, 128570, 0.1824554
all, mrr, 1, a, 128570, 0.9747841
all, update.acc, 1, a, 128570, 0.9154909
all, update.prec, 1, a, 128570, 0.9245471
all, roc.v1_eer, 1, a, 128570, 0.0410516
all, roc.v1_ca05, 1, a, 128570, 0.9609940
all, roc.v1_ca10, 1, a, 128570, 0.9609940
all, roc.v1_ca20, 1, a, 128570, 0.9609940
all, roc.v2_ca05, 1, a, 128570, 0.6998017
all, roc.v2_ca10, 1, a, 128570, 0.7994254
all, roc.v2_ca20, 1, a, 128570, 0.9014528
goal.food, acc, 1, b, 9890, 0.6965622
goal.food, l2, 1, b, 9890, 0.5090254
goal.food, l2.binary, 1, b, 9890, 0.6061972
goal.food, avgp, 1, b, 9890, 0.6638546
goal.food, neglogp, 1, b, 9890, 1.9465437
goal.food, mrr, 1, b, 9890, 0.7546598
goal.food, update.acc, 1, b, 9890, 0.3290964
goal.food, update.prec, 1, b, 9890, 0.7014778
goal.food, roc.v1_eer, 1, b, 9890, 0.2788675
goal.food, roc.v1_ca05, 1, b, 9890, 0.2931244
goal.food, roc.v1_ca10, 1, b, 9890, 0.4724975
goal.food, roc.v1_ca20, 1, b, 9890, 0.6523761
goal.food, roc.v2_ca05, 1, b, 9890, 0.1576426
goal.food, roc.v2_ca10, 1, b, 9890, 0.2846567
goal.food, roc.v2_ca20, 1, b, 9890, 0.4798955
goal.pricerange, acc, 1, b, 9890, 0.7106168
goal.pricerange, l2, 1, b, 9890, 0.5380599
